essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,prompt
656,1,"I believe that computers are a great help to society I believe this @CAPS3 when you don'@CAPS1 know something you could go on-line to look it up. Also if you are to sick or don'@CAPS1 have time to go out and buy things that you need from stores you can buy it on-line and have it @CAPS7 right to your door. My final reason is that computers can save paper buy having a lot of document on your computer. My first reason was that if you don'@CAPS1 know something you could look it up. A lot of times you could be watching @CAPS1.V. or talking with someone and you @CAPS4 wonder what something is or means. @CAPS6 instead of just letting whatever you didn'@CAPS1 know just pass on you could look it up on a computer and educate yourself and possibly others to. My next reason was that if you are to sick or don'@CAPS1 have the time to go out and buy things that you need from stores you can buy it on-line and have it @CAPS7 right to you door. This is a great help to the people who are to sick @CAPS3 sometimes they are @CAPS6 said they can'@CAPS1 leace there home @CAPS6 instead of starving to death they can have food or anything @CAPS7 to them if they just click a couple of buttons on the computer. Now, also this could help the people who are to busy to go to stores @CAPS3 right before they leave they could press some buttons and when they get home there stuff on sitting there for you. Back when my dad was a @CAPS2 and my mom was a vice-president of a drug producing company which sold oxy-cofin they had to have a grocery @CAPS5 ship foods to our house. They had to have this happen @CAPS3 they @CAPS4 worked long hours and they didn'@CAPS1 have the time to go to a grocery @CAPS5 @CAPS6 they had the food @CAPS7 to our house which was a huge help. My last and final reason is that computers can help save a lot of trees and paper. A big thing now is that we have to go green right, @CAPS6 instead of cutting down more trees we can just have all that on our computer which doesn'@CAPS1 we any paper. These are just some of the reasons why computers are a help to society. I could come up with many more ideas but can'@CAPS1 fit them just in this story, @CAPS6 finally rember people whole lives are on their computers.",4,5,9,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
962,1,"To whom it @MONTH1 concern, I think computers are a good thing. It is good because you get to learn about forein places. Keep in touch with family and friends and it is good entertainment. First, computers are great to learn about forein places. On the computers you could research a place and look at pictures before you go. If I wanted to go to a far away place like @LOCATION3. I would go on the computer and find the best part to go to and I would look at different hotels to stay at the reviews it has gotten. Aslo, if someone were to do a paper on a different country or even state that they've never been to they would go on the computer. Sure, you can get the same info from books but you can filter out what you don't need on the computer. In my history calss, I had to do a report on the state of @LOCATION2. I have never been there so I want on the computer. Books could have given me the same info but computers are always up to date and accurate. Seecond, computers help you keep in touch with family and friends. There are numerous websites that allow you to share photos and talk to friends or family. I recently signed up for facebook and I am able to talk to friends instead of using mytexts and running over the phone bill every mont. My dad has a facebook too, he talks to people he hesn't seen since he moved heve from the @LOCATION1 white mountains. Some other sites are aim, aol, and myspace. Lastly computers are good entertainment. Computers allow you to see that concert you didn't go to or that movie that's never on tv. When I went to a skate board demo at skate lair I had tons of fun. The other day though, I started thinking about it. I went on youtube and type in""nike sb skate lair demo"" and clicked on it. i watched it and about halfway through it I saw my face! i was so exited. Computer also allow you to check the news and weather. This is good because if you are on the road and you want to see what's going on you can take out a laptop and checked the weather or news. That is why I think computers are necessary. Yes people do stay on four hours at a time but most people only go on for a small amount.",4,5,9,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
1229,1,"Dear Newspaper @CAPS1, @CAPS2 you think that computers have a positive or negative affect on people's lives? Well if you think it is negative I am going to show you why it is actually very positive. First, it teaches good hand-eye coordination. Second, it lets people communicate with other people. Third, it can help with school and work. As you can see this is why I believe it is positive. First, computers teach good hand-eye coordination. While you use computers you are improving your hand-eye coordination. One way is that when you are online and you see something you like or want to see even bigger, you move the mouse and click. This helps because you saw something and didn't need to see where you were moving the mouse to click on it. Also it helps because when you are typing a paper you don't need to look at the keys to know what to type. You can look at the screen and move your fingers freely. As you can see this is my first reason as to why I believe computers are positive. Second, computers help people communicate with others. This can be important if you need to talk to someone that lives far away. If someone lives to far away and their is something important then the @CAPS7 is great. You can send people @CAPS3 or even @CAPS4 chat someone. It helps communication so much that you have choices on how you want to talk to someone. Third, it helps people with school and sometimes work. It helps people because they could @CAPS2 projects. This can be helpful to learn about places you didn't even know existed. One time I was wondering what people from @LOCATION1 did to live and survive. Being @CAPS5, I just had to know. I went on the computer and in about a half hour I knew exactly what and how @CAPS5 people did to live and survive. This could also help at work because it your boss is counting on you to have work done, you can use the @CAPS7. As you can see this is my third and final reason as to why I believe computers are positive. In conclusion, I believe that computers are positive for three main reasons. First, they can help to improve hand-eye coordination. Second, they help people communicate with people from other areas. Third, it helps with school and work. So now that you have read this I hope I have shown you that computers aren't bad for us at all. In fact the are the best bet for a better future.",4,4,8,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
306,1,"Dear Local Newspaper, Computers are important for growth. They teach us skills like hand-eye coordination, they allow you to talk online, and learn about faraway people and places. I do believe that it benefits society even though many people dont. Nine out of @NUM1 schools use computers on a daily basis and their community is still fine. I know you think its taking away real social time but it really is improving the community. Imagine a student playing basketball, and his teamate passes the ball to him and he can't catch it because he has no hand-eye coordination skills. That wouldnt happen to him if he spent more time on the computer. There are many coordination games on the internet, like pinball of @CAPS1, that help build that up. When you play those games you keep your hand on the mouse or keyboard and your eyes on the screen. It helps you to not look down. When you play basketball, you can catch the ball and still throw it if you have good coordination. out of @NUM1 people keep in touch with family or friends online. Its the greatest feeling when you talk to someone you haven't seen in awhile because you know that they still remember you. When you talk to people online, you get to know them better and they tell you things that they dont want others to know. Also, when you meet up with them, you have more things to talk about. What would happen if you were to go to a location that you thought was nice, but it turned out to be the worst place ever? It would be terrible, but if you looked it up on the internet, you would know the truth about it. Lets say you want to know about someone famous, you look it up on the computer. There are many educational things on the computer that can help you out in life. I do agree with you on one thing. Society is losing its communication skills. Being on the computer all the time isn't doning anyone good. Nobodys picking up the phone and calling their friends to talk. They are distancing themselves from everyone but their computer. We dont want out society to stay this way. The people who spend their day on the computer need to change. I think computers are an asset to the community. Many people believe that computers are ruining everything, but they really aren't. Computers are good for learning about people and places. The question is, do you want people to refrain from using computers? Now is the time to decide, do you want us to use computers to furter our education or not?",4,4,8,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
232,1,"Lately, a technology buzz has hit all over the world. Where ever you look, be it at home, at school, at work, or on the streets, you see people texting, talking on phones, blogging, and other computer related things. This concerns some people. They believe that these generations are relying too much on computers and not spending enough time exercising outside or socializing. But here is where they go wrong. These experts are judging computers too harshly, for it's not like everyone is zoning out in front of a glass screen, sucked into the world beyond. @CAPS9, most of these ""computer geeks"" are using the computer for useful things, while they are also used for entertainment, computers also help society to reconnect with long-lost friends or even get directions to a well-know resuraunt. As you can plainly see, computers are not turning us all into zombies. Computers are sometimes seen as a nusence. Parents complain about the many times they have to drag their sons and daughters from the screen for dinner or a soccer game that started @NUM1 minutes ago. But you see, this doesn't mean its bad. Everyone goes on the computer. ""Even though my father complains that I'm on @CAPS1 too much,"" @PERSON1, @ORGANIZATION1, says. ""@CAPS2 forgets that @CAPS2 has one of his own."" This is an example not unlike many other student's parents. About @PERCENT1 of adults confess that they too have fallen into the new fads such as @CAPS1, @CAPS4, and @CAPS5. So why do we need these things? What seems to make them so important to us? The answer is simple, it makes us feel connected. Then again, if you think about it, maybe not so simple. Many people have different opinions on why the computer is so important to them, but most agree that friends is one big factor. ""Everyone is already online."" @PERSON2, computer technician, informs. ""@CAPS6 all your friends are in something, wouldn't you want to as well?"" @CAPS7, as the famous saying, @CAPS8 your friends jumped off a bridge, would you?, flashes through your mind let me answer that for you - @CAPS9. Being connected and diving off the deep ends are too different concepts. As you find friends from highschool or just friends from school, your glad that @CAPS7 you can talk to them face to face - or computer screen to computer screen - again. Last, but certainly not least, the computer is a great resource. While some people complain, others are using what it has to offer by looking up directions to events or facts for your next report. This is how websites like @ORGANIZATION2 make billions from the words being typed into the search engine. The facts and places that arise from the computr are like gems waiting to be found. In conclusion, its easy to see why the computer and its resources are so loved. Everyone uses it for different things and different hobbies. Whilesome for pure entertainment, others for information, and another for reconnection. My personal favorite finiding the true treasure of hidden bands, the fantastic ones, that @CAPS9 one even knows. And so, this is why I'm convinced the computer is a positive impact on the world.",6,6,12,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
826,1,"Dear @CAPS1, @CAPS2 a student of the local middle school technology is utilized to the fullest. Computers have helped us write essays more efficiently & complete research assignments. However, personally I feel that this constant usage of computers has a negative impact on people. Firstly, computers hinder interpersonal connections. @CAPS4, @ORGANIZATION1 help keep in touch with old college buddies', but no computer can replace face-to-face communication. From hard, cold text, one cannot decipher subtle connotations or wit. Bot, people are beginning to replace seeing one another with @CAPS3 networking. With the technological revolution came games like @ORGANIZATION2. These games are addicting, @CAPS4, our society mocks ""nerds"" for spending too much time playing these trivial games, but it really is a serious issue. For example, in a recent study done by @ORGANIZATION3 students, ""@NUM1 out of @NUM2 teenagers who play computer games do not get the recommended amount of daily exercise."" This is because these games are so absorbing. The amount of time put into gaming. Ultimately consumes all free time. This is dangerous, because a gaming addiction can lead to delusion, @CAPS3 inadequency, obesity. @CAPS2 a people, we are quickly learning that what was once so genius, is actually dangerous. If one was to stare at a backlit screen for hours on and, their eyesight would definitely start to deteriorate. Loss of eyesight is just one of the negative impacts computers have in our health. @CAPS2 aforementioned, obesity is issue. Now, couple this with bad eyesight, @CAPS5 @CAPS6 deficiency & a negative outlook & you've got yourself a issue. All of the deseases brought on by computers can be just by less time on the computer, & exercises. Naturally, @CAPS2 a specie we were not to spend so much time in a fixed position. This static state is a new phenomena that is aquiring major health problems. The over usage of computers practionally, robs us of our time, destroys our health, & hinders our @CAPS3 interactions. This makes computers a negative influence on people & their health.",5,5,10,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. 

Write a letter to your local newspaper in which you state your opinion on the effects computers have on people. Persuade the readers to agree with you.
"
4440,2,"Imagine a world where nearly every other book is banned for some reason or another. That world is not a world I want to live in. I believe that censorship in libraries is wrong. For three reasons, really, the first being that people have the right to any information that they desire to have. The second, people do not have the power to take opportunities away from other people. The last point I will make is that no information is bad information.     Because we are in @LOCATION1, I asume that we are talking about censorship in @CAPS1 libraries. If that is the case, then I think that it is unconstituitional to ban any book, or censor any material. Censoring books is like putting a blind fold on whoever is reading the material; they don't see it for what it really is, or for what the intended purpose is.     If the prompt does happen to be including foreign countries, then I think humans do not have the right to influence what other people read. This is idealistic, yes, and in a perfect world, all countires would have equal rights for everyone, regardless of race or gender. I think that people should see everything the way it is. If something is offensive, it's offensive. It's the person's choice whether or not they read or listen.     That leads me to my last point, that no information can be bad information. Whether it is profane, or offensive in any way, there is always some kind of meaning behind it. From rappers like @PERSON2 and @CAPS2 @CAPS3, who I've found all of their songs have meaning, whether it's personal, or they are trying to send a message out to the people. There are books like @CAPS4 for @LOCATION2, by @ORGANIZATION1, which has recently been banned by some school libraries because of graphic scenes. The people who banned the book fail to realize that the book is not about those scenes. There is a much deeper message about guilt and grief, and redemption beneath it. Another, more famous book that was banned from school libraries is The @CAPS5 in the @CAPS6, by @PERSON1, which is a coming of age story about a boy.      In conclusion, I don not think it is right to ban books or music from libraries. No one has the right to.There is always meaning within. The way an author writes a story or a piece of music always has meaning; they made the conscious decision to write it that way for a reason. By banning books, they are taking people's chances to grow and expand.",4,4,4,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
3488,2,"With new things coming out these days, I, @PERSON1, believe that all things out in libraries should have a certain organization for certian subjects. I am not asking for any removal or destorying of books, magazines, or anything that is in the libraries but I am asking for a fair hearing of my opinion.     I would like more organization for certian things, I do know people have their own ideas about things that should be in a book. These books found in a library could bring enjoyment to people, but sometimes can offence other people.  So, with this way I would really like if there was a scale, or organization of books.      So with that, people who dont like certain subjects could easily stay away from the books that they do not like. If there is a scale factor of these books, music, magazines, or movies, you can just have a number or a letter symbolizing the certain catagories. Even though, I, personally think it is alittle worse than a different organization, it would atleast worn people of these things.     If you were to deside that either way would be better so then less complaining people would be wanting all books destroyed. I think that organizing the books in a different way would be better. This would be a lot of work but, thinking of a mother of a child could easily keep them away from books the mother would not even touch herself.     I would not like any books removed from libraries. This is because if you start taking one out of the library, that my offence someone, I believe you will start taking out more than one. With this thought I think it will come down to either everyone complaining about a certain book in the library to no library at all. So please, please think about organizing the books, magazes, movies, music, and more so then this will not happen in the future. Thank you for your time to read this, I hope you can find a way of going in to this subject more. Also, maybe publish some too, into the newspaper.",3,3,3,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
3590,2,"Do i think that if books, movies, music, magazines, etc should be removed from the shelves just becuase they are offensive? No, i don't think that the stuff should be removed from the shelves just becuase someone thinks or takes it to be offensive. Let's say this ok if we had everybody go and say that this book is offensive, or I don't think this movie should be on this shelve because i think it's offensive or this or that then we wouldn't have anything to wacht, lissin to, or even read. I under stand that yes people do have rights and there believes on something but it doesn't mean that they have any say so on what should stay or what should go.           If we let people do this than nobody would be abel to wacht, read, play,  or even lissin to for fun. Us people used these thing for haveing something to keep us intertaned. Let's say this ok we all know how littel children have thier emanginashon and they used that to keep them intertaned just like us older people used books, music, movies, and ect to keep us intertand. Well if we don't have this stuff than we would be lost and won't know what to do with out that stuff. Just's think of our littel kids if we take there emanginashon away than they would be lost and hoples because that's how they learn and grow up.     We people used this every day use to not onley keep us intertaned but to also help us learn more about what every we need to learn about to survive in every day life. See in ways we are not so diffrent from our chiledren at all realy. they used what every they find or see to keep them intertaned and for enjoiment. If people realy thought about what they are realy going to do by removing something from the shelves than they would regreat that what they did was stupied because now they don't have anything to read, lissin to, or even wacht. I my own self had experience on what it's like to have something like that polled down from the shelves befor and it's realy not cool at all fore that to happen. Takeing something off the shelfs that is alittel bit offensive doesn't meen that it should be tooken off the shelves.     I think that if people who took something off the shelves just becase one person thought that it was offensive if wrong and should not take somthing down that maby other people like. I mean just look at what the thing is talking about first and see if it's offensive to you or not and maybe it's something that people could learn from. Taking something down befor even reading it your self is stupied on be hafe of your part becasue maby other people like and maby you like it who knows. I just think that people should realy think befor they go and take something off the shelves with out haveing alote of people giveing you a bad coment on it befor just taking one persons opean on it.",2,2,2,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
4300,2,"Books can always be amazing things in how they take us to whole new worlds and how they enlighten us to new ideas we @MONTH1 have never thought about before.  However, are some books just too much to handle and should not be read?  Well think what you @MONTH1, but I believe all reading and media materials should stay on their shelves in libraries because people should have a right to know what is in the real world, even some of the bad parts.  Different assortments of media should definately not leave libraries or be banned from them because people need to be educated in all that exists, they need to know even the bad things in this world so they can hopefully be educated enough about it they can go away from evil acts and help fight against them, and first and foremost it is their right to choose what they want to read because each individual must have the option to be who they want to be.  Though we can only hope that by giving people such knowledge they can rise up and do what is right.     Even education @DATE1 is being influenced by people saying that students can not be taught certain realms of knowledge, but in the long run does this really help people?  If people were educated enough to know about everything we know and what they themselves as an individual choose to learn, wouldn't that help them from becoming curious and learning lies from an invalid source, instead of the array of resources they would have open to them at a library?  Each individual should have the right to learn what they want to learn and should not be closed off from any resources, otherwise they @MONTH1 never learn the real truth behind a topic, which would work against the whole point of learning.  These seekers of knowledge should always be able to seek as they please, so that they @MONTH1 learn and hopefully make new advancements for everyones benefit, but they can only hope to this with proper education.         Another point to look at is that people need this variety of education, so they can work for causes important to them.  With knowledge people can make new innovations and create and spread new ideas to help make the world better.  Although  this can only happen when they know both sides of the story, so that if they oppose something they can know what they are talking about and what they are pushing against and what cause they are pushing for.  The only way people can truly make their ideas heard will be when they can understand all about their topics.  Without certain points of information that could be taken out, people @MONTH1 have no backbone to what they are saying and then they would even hamper other people's learning processes as well.     Also another reason to not have censorship is that we all have rights in @LOCATION1,and hopefully globaly someday, to be who we want to be in the pursuit of happiness as long as we do not hinder anyone else's dreams in our own pursuit.  People really just need to be who they really are in order to help the world and make differences, because if we were not allowed to be our own individuals then people would never advance.  Without this advancement, people would have just remained the same in their cultures and beliefs, but instead people chose to seek knowledge, and in doing so gave us the technology people have @DATE1.  Harry @CAPS1 even argues in his popular books series that we must know the enemy to fight them.  Would he have become such a hit if others didn not believe this as well?  To change this would go against the rights people have found for themselves, thus meaning if we gave these rights away, people would have regressed.       People should always be allowed to access all types of media, especially in librairies.  These media types help shape who each individual is and helps them to help make contributions to the world in their lives.  Though there wil;l always be bad media, we must understand even the bad in this world, so that hopefully people will make the choice to combat it.  We all certainly would not be the people we are @DATE1 without all the influences on us and by taking away even parts of knowledge we would end up only dehabilatating ourselves.   These choices all help us to hopefully advance and continue forward into the depths of understanding, so that knowledge will continue on forever",4,5,4,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
3971,2,"Censorship in libraries should not be allowed. I believe that even if books, music, movies or magazines on the bookshelves are offense, they should still be left there. They are apart of our history and the history we're creating.     If anyone wants to read a certain book or magazine, there's a big chance they will end up reading it. There are so many ways to get to those things with the technology we have today. You could just look them up online and read them or listen to them off the computer.     Also, censoring in libraries, where everyone feels tranquil and comfortable, can make people rebel and even put the library out of business.     From what i've observed, most people look up inappropriate or offensive things on the internet already. Especially if they know that it's something that could be debated about being censored.     A lot of books and movies, great ones even, contain some offensive content but they are classics. Generations, one after the other, have enjoyed them.     Now tell me, who would want to be the unreasonable person and take that away from anyone who is interested? Everyone should have the right to these books, magazines, movies, and music. Libraries should not censor them.",3,3,3,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
3168,2,"Picture this: you come home one day after work and before you even enter the house, you hear music blaring from your child's room. As you step closer, you begin to hear the lyrics that go with the banging bass and you realize that that isn't just any music, it's completely unedited, expicit versions of vulgar songs. Now, who would want their child listening to songs that make it seem like drinking, doing drugs, and other various risky activities are okay? I know I sure wouldn't.     Music isn't the only source of offensive material in today's society. It can be found nearly anywhere. In books, magazines, @CAPS1 shows, movies, on the @CAPS2, you name it. All of these are easily accessible by children of all ages. That is why there should be censorship of certain materials, to a certain degree. By this, I mean that if there is a dirty book in a public library, it should only be able to be rented by people who are of a certain age. Just because it's bad doesn't mean that it has to completely vanish from the face of the world. There should just be a limitation on who can view it. That applies to everything that could contain offensive material.      Kids are kids. There are certain things that should be absolutely off limits to them--such as explicit movies, books, music, etc.--as they do not need to know about drugs, sex, or alcohol at such a young age. Censorship should definitely be in effect in places like public libraries where young children are bound to be. But, as mentioned earlier, censorship should only be to a certain degree. Keeping childrens' minds clean for as long as possible would be a very positive thing to do for both them and our society in general",4,4,4,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
4694,2,"Do you think that certain materials should be removed off library's bookselfs if someone dislikes or does not agree with the topic or the plot? Do you believe that a book should be banned from any public library just because someone has a negative opinion about what the book is convincing readers?     I believe that every person has the choice to not read a book or magazine, or even watch a movie, if they find it offensive.     'All of us can think of a book that we hope none of our children or any other children have taken off the self. But if I have the right to remove that book from the self- that work I abhor- then you also have exactly the same right and so does everyone else. And then we have no book left on the self for any of us.' @CAPS1 quote from the arthur, Katherine Paterson, from my opinion, I believe that what she is saying is very true. Considering that everyone has a different opinion on many things, if everyone had a right to remove one book that they did not like or felt it was offensive from the self, there would not be a varity of books for people to choose from. I have sometimes gotten corious about what a friend was reading and asked them if they thought it was a good book. They either tell me it is a good novel or tell me it was horrible. Then I would read a few pages and I would think it was pretty good. So if they had the right to remove that book I would have never got the chance to read that book.     I do not believe that people should be able to remove books from shelfs just on their specific personality. Everyone has a different opinion or perspective about books. Everyone should get a large variety",4,3,4,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
4026,2,"Does censorship solve any problems?  If one person wants to censor something in a library, there is bound to be another person on the other side of that arguement  trying to protect that work from be taken away.  As a free country, it is every individuals right to take in whatever form of literature or music that they find pleasing, and history has shown the world that censorship leads those in power down a dark road.  The shielding of offensive materials is only necessary and fair when the young, impressionable minds of the world's youth are at stake, but once a person is old enough to make informed decisions, it should be their perrogative to choose their own material.  Censorship is unacceptable on the grounds of personal rights and how it has affected history, but necessary when protecting the young.     It is a person's right to choose what kind of literature they would like to read.  If someone does not like a book and it becomes banned from a library, then everyone will want to have a book that they do not like banned.  For example take a hypothetical public library: a public library is an open, free place where men, women, and children of any background can come to learn and enjoy themselves with a good book, magazine, or music.  A great mental image of serenity and peace.  How does this picture appear to a bystander once books begin to disappear off of the shelves?  Suddenly right and left, books are disappearing as if by magic: a ceratin book is disapproved of by mothers, a religious group does not like the message this book sends, and this book makes people sad.  Before long, there are not very many books left in this hypothetical library other than books for toddlers.  With this system, everyone suffers.  Everyone should retain their right to read what they would like to.  It would all just be simpler if book were just not banned from libraries.     History has given the world many a cruel dictator.  Oftentimes, once he comes to power, he is not the most popular of governmental forms.  To keep his subjects underneath his rule, often he has to resort to taking away civil rights.  This could be a curfew, fake elections, or censorship.  If the ruler has the power of censorship, he or she can control what the public thinks, feels, and believes.  With this power over them, the people are weakened and often abused.  Now imagine that censorship occuring in a country that has civil rights.  People would not stand for it.  So why begin censorship in an area that promotes freedom?  There is absolutely no need for censorship to occur, and as history has shown, it certainly is not a good thing.     Censorship is unacceptable in all forms in a free country that promotes civil rights.  There is, however, one other element at play here: protection of youth and innocence.  Almost everyone can remember a time a child when they were young and innocent, free of worry and trouble.  That can disappear in a instant.  Children should not be exposed to things that are innappropriate for their age.  Nearly every movie nowadays has violent and risque, if not full-blown-adult, materials present in it.  The age of innocence is getting younger every generation, and children are becoming conditioned to this material to an extreme point.  A claim like this @MONTH1 sound hypotcritical coming from the mouth of one against censorship, but it is not 'censorship' when one is protecting the young.      Due to personal rights and what history has shown the world, censorship should never be tolerated unless on the grounds of protecting children.  It is each person's choice of what they would like to read and absorb, so their choices should not be infringed upon.  The world has seen on several occasions what censorship can do to people.  Also, children should be protected, and that is not censorship.  Censorship solves no problems, but it makes everyone unhappy.  Therefore, why censor",5,5,5,"Censorship in the Libraries
""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us."" --Katherine Paterson, Author
Write a persuasive essay to a newspaper reflecting your vies on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.
"
